episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
249,48255,0.4036,0.8453,44,0.000685,,
250,48511,0.4005,0.0000,256,0.000708,,
251,48561,0.3998,0.8242,50,0.000820,,
252,48618,0.3991,0.7996,57,0.000723,,
253,48710,0.3980,0.6766,92,0.000691,,
254,48830,0.3965,0.5781,120,0.000683,,
255,49005,0.3943,0.3848,175,0.000687,,
256,49236,0.3915,0.1879,231,0.000657,,
257,49268,0.3911,0.8875,32,0.000734,,
258,49292,0.3908,0.9156,24,0.000400,,
259,49542,0.3877,0.1211,250,0.000619,,
260,49659,0.3862,0.5887,117,0.000936,,
261,49886,0.3834,0.2020,227,0.000534,,
262,50142,0.3803,0.0000,256,0.000662,,
263,50398,0.3771,0.0000,256,0.000599,,
264,50463,0.3763,0.7715,65,0.001374,,
265,50715,0.3732,0.1141,252,0.000643,,
266,50744,0.3728,0.8980,29,0.000542,,
267,50856,0.3714,0.6062,112,0.000597,,
268,51112,0.3683,0.0000,256,0.000596,,
269,51246,0.3666,0.5289,134,0.000800,,
270,51502,0.3634,0.0000,256,0.000611,,
271,51758,0.3603,0.0000,256,0.000613,,
272,51844,0.3592,0.6977,86,0.000868,,
273,51875,0.3588,0.8910,31,0.000852,,
274,51936,0.3581,0.7855,61,0.000531,,
275,51950,0.3579,0.9508,14,0.000268,,
276,51983,0.3575,0.8840,33,0.000330,,
277,52191,0.3549,0.2687,208,0.001018,,
278,52447,0.3517,0.0000,256,0.000886,,
279,52703,0.3486,0.0000,256,0.001206,,
280,52761,0.3478,0.7961,58,0.001390,,
281,52908,0.3461,0.4832,147,0.000662,,
282,53026,0.3446,0.5852,118,0.000637,,
283,53282,0.3414,0.0000,256,0.000980,,
284,53538,0.3382,0.0000,256,0.000827,,
285,53624,0.3372,0.6977,86,0.000840,,
286,53695,0.3363,0.7504,71,0.001036,,
287,53766,0.3354,0.7504,71,0.000980,,
288,53972,0.3329,0.2758,206,0.000838,,
289,54068,0.3317,0.6625,96,0.001130,,
290,54202,0.3300,0.5289,134,0.000902,,
291,54369,0.3279,0.4129,167,0.000622,,
292,54533,0.3259,0.4234,164,0.000854,,
293,54614,0.3249,0.7152,81,0.000685,,
294,54670,0.3242,0.8031,56,0.001286,,
295,54754,0.3232,0.7047,84,0.000819,,
296,54859,0.3219,0.6309,105,0.000917,,
297,54948,0.3208,0.6871,89,0.000713,,
298,54980,0.3204,0.8875,32,0.000453,,
299,55062,0.3194,0.7117,82,0.000643,,
300,55318,0.3162,0.0000,256,0.000992,,
301,55574,0.3130,0.0000,256,0.000964,,
302,55663,0.3119,0.6871,89,0.000675,,
303,55854,0.3096,0.3285,191,0.000835,,
304,56110,0.3064,0.0000,256,0.000748,,
305,56366,0.3032,0.0000,256,0.000937,,
306,56597,0.3004,0.1879,231,0.000942,,
307,56849,0.2972,0.1141,252,0.001172,,
308,57105,0.2941,0.0000,256,0.001100,,
