episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
364,56776,0.2982,0.9367,18,0.001547,,
365,56793,0.2979,0.9402,17,0.001588,,
366,56806,0.2978,0.9543,13,0.001565,,
367,56853,0.2972,0.8348,47,0.002801,,
368,56873,0.2970,0.9297,20,0.001315,,
369,56889,0.2968,0.9437,16,0.001309,,
370,56905,0.2966,0.9437,16,0.001461,,
371,56922,0.2964,0.9402,17,0.005143,,
372,56935,0.2962,0.9543,13,0.001918,,
373,57034,0.2950,0.6520,99,0.001977,,
374,57050,0.2948,0.9437,16,0.001609,,
375,57068,0.2946,0.9367,18,0.002045,,
376,57085,0.2943,0.9402,17,0.003165,,
377,57107,0.2941,0.9227,22,0.001372,,
378,57121,0.2939,0.9508,14,0.001224,,
379,57135,0.2937,0.9508,14,0.001386,,
380,57148,0.2936,0.9543,13,0.001216,,
381,57168,0.2933,0.9297,20,0.001150,,
382,57263,0.2921,0.6660,95,0.002322,,
383,57274,0.2920,0.9613,11,0.001214,,
384,57290,0.2918,0.9437,16,0.005564,,
385,57303,0.2917,0.9543,13,0.005696,,
386,57326,0.2914,0.9191,23,0.001698,,
387,57338,0.2912,0.9578,12,0.001104,,
388,57354,0.2910,0.9437,16,0.006573,,
389,57367,0.2909,0.9543,13,0.006567,,
390,57387,0.2906,0.9297,20,0.001421,,
391,57410,0.2903,0.9191,23,0.002844,,
392,57425,0.2901,0.9473,15,0.004145,,
393,57439,0.2900,0.9508,14,0.001797,,
394,57452,0.2898,0.9543,13,0.001995,,
395,57466,0.2896,0.9508,14,0.001666,,
396,57481,0.2894,0.9473,15,0.002640,,
397,57502,0.2892,0.9262,21,0.001741,,
398,57515,0.2890,0.9543,13,0.001724,,
399,57530,0.2888,0.9473,15,0.001012,,
400,57565,0.2884,0.8770,35,0.004252,,
401,57581,0.2882,0.9437,16,0.000971,,
402,57593,0.2880,0.9578,12,0.001511,,
403,57605,0.2879,0.9578,12,0.001534,,
404,57624,0.2877,0.9332,19,0.005844,,
405,57640,0.2875,0.9437,16,0.001792,,
406,57651,0.2873,0.9613,11,0.009909,,
