episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
198,37488,0.5369,0.0000,256,0.002268,,
199,37575,0.5358,0.6941,87,0.001389,,
200,37717,0.5340,0.5008,142,0.001795,,
201,37953,0.5311,0.1703,236,0.002387,,
202,38054,0.5298,0.6449,101,0.002726,,
203,38093,0.5294,0.8629,39,0.002164,,
204,38288,0.5270,0.3145,195,0.002864,,
205,38318,0.5266,0.8945,30,0.002848,,
206,38574,0.5234,0.0000,256,0.003392,,
207,38615,0.5229,0.8559,41,0.003431,,
208,38795,0.5207,0.3672,180,0.003573,,
209,38822,0.5203,0.9051,27,0.001164,,
210,38963,0.5186,0.5043,141,0.002421,,
211,39219,0.5154,0.0000,256,0.004041,,
212,39475,0.5123,0.0000,256,0.004445,,
213,39731,0.5091,0.0000,256,0.002626,,
214,39840,0.5078,0.6168,109,0.002787,,
215,40096,0.5046,0.0000,256,0.001920,,
216,40316,0.5019,0.2266,220,0.002114,,
217,40485,0.4998,0.4059,169,0.002358,,
218,40738,0.4966,0.1105,253,0.001985,,
219,40796,0.4959,0.7961,58,0.001939,,
220,40984,0.4936,0.3391,188,0.001610,,
221,41240,0.4904,0.0000,256,0.002206,,
222,41294,0.4898,0.8102,54,0.001939,,
223,41345,0.4891,0.8207,51,0.002153,,
224,41455,0.4878,0.6133,110,0.001373,,
225,41573,0.4863,0.5852,118,0.002412,,
226,41588,0.4861,0.9473,15,0.003386,,
227,41766,0.4839,0.3742,178,0.002159,,
228,42022,0.4807,0.0000,256,0.002061,,
229,42067,0.4802,0.8418,45,0.002474,,
230,42097,0.4798,0.8945,30,0.001117,,
231,42353,0.4766,0.0000,256,0.001731,,
232,42409,0.4759,0.8031,56,0.002447,,
233,42620,0.4734,0.2582,211,0.002321,,
234,42766,0.4715,0.4867,146,0.001705,,
235,42969,0.4690,0.2863,203,0.002239,,
236,43225,0.4658,0.0000,256,0.002317,,
237,43481,0.4627,0.0000,256,0.002010,,
238,43668,0.4604,0.3426,187,0.002338,,
239,43835,0.4583,0.4129,167,0.002447,,
240,44091,0.4552,0.0000,256,0.002374,,
241,44193,0.4539,0.6414,102,0.002506,,
242,44443,0.4508,0.1211,250,0.002418,,
243,44699,0.4476,0.1000,256,0.003454,,
244,44745,0.4470,0.8383,46,0.002380,,
245,44815,0.4462,0.7539,70,0.001927,,
246,44994,0.4440,0.3707,179,0.002191,,
247,45014,0.4437,0.9297,20,0.002421,,
248,45037,0.4434,0.9191,23,0.001085,,
249,45114,0.4425,0.7293,77,0.001604,,
250,45370,0.4393,0.0000,256,0.002166,,
251,45577,0.4367,0.2723,207,0.002391,,
252,45710,0.4351,0.5324,133,0.001731,,
253,45831,0.4336,0.5746,121,0.001824,,
254,45843,0.4335,0.9578,12,0.003879,,
255,45906,0.4327,0.7785,63,0.001398,,
256,46162,0.4295,0.0000,256,0.002188,,
257,46263,0.4283,0.6449,101,0.002105,,
258,46279,0.4281,0.9437,16,0.002188,,
259,46535,0.4249,0.0000,256,0.001726,,
260,46791,0.4217,0.0000,256,0.002798,,
261,47047,0.4186,0.0000,256,0.001694,,
262,47303,0.4154,0.0000,256,0.002135,,
263,47358,0.4147,0.8066,55,0.001463,,
264,47372,0.4146,0.9508,14,0.000733,,
265,47570,0.4121,0.3039,198,0.002194,,
266,47738,0.4100,0.4094,168,0.001822,,
267,47781,0.4095,0.8488,43,0.002891,,
268,48037,0.4063,0.0000,256,0.002710,,
269,48293,0.4031,0.0000,256,0.001903,,
270,48420,0.4016,0.5535,127,0.002174,,
271,48534,0.4002,0.5992,114,0.002033,,
272,48723,0.3978,0.3355,189,0.002309,,
273,48749,0.3975,0.9086,26,0.001087,,
274,48877,0.3959,0.5500,128,0.002216,,
275,49055,0.3937,0.3742,178,0.002009,,
