episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
427,52466,0.3515,0.9227,22,0.004816,,
428,52479,0.3514,0.9543,13,0.002154,,
429,52497,0.3511,0.9367,18,0.005932,,
430,52525,0.3508,0.9016,28,0.003288,,
431,52544,0.3506,0.9332,19,0.003829,,
432,52564,0.3503,0.9297,20,0.003745,,
433,52580,0.3501,0.9437,16,0.001955,,
434,52591,0.3500,0.9613,11,0.001315,,
435,52609,0.3497,0.9367,18,0.003839,,
436,52625,0.3495,0.9437,16,0.003680,,
437,52673,0.3489,0.8313,48,0.002187,,
438,52691,0.3487,0.9367,18,0.003167,,
439,52707,0.3485,0.9437,16,0.002614,,
440,52721,0.3483,0.9508,14,0.002724,,
441,52740,0.3481,0.9332,19,0.004116,,
442,52754,0.3479,0.9508,14,0.003623,,
443,52770,0.3477,0.9437,16,0.004907,,
444,52793,0.3474,0.9191,23,0.003127,,
445,52812,0.3472,0.9332,19,0.001518,,
446,52898,0.3462,0.6977,86,0.003927,,
447,52920,0.3459,0.9227,22,0.003250,,
448,52936,0.3457,0.9437,16,0.001773,,
449,52963,0.3454,0.9051,27,0.002952,,
450,52977,0.3452,0.9508,14,0.004365,,
451,53035,0.3445,0.7961,58,0.002566,,
452,53057,0.3442,0.9227,22,0.004255,,
453,53071,0.3440,0.9508,14,0.004826,,
454,53086,0.3438,0.9473,15,0.004081,,
455,53158,0.3429,0.7469,72,0.003834,,
456,53174,0.3427,0.9437,16,0.003756,,
457,53188,0.3426,0.9508,14,0.004325,,
458,53199,0.3424,0.9613,11,0.003357,,
459,53252,0.3418,0.8137,53,0.004434,,
460,53265,0.3416,0.9543,13,0.002238,,
461,53278,0.3415,0.9543,13,0.003563,,
462,53293,0.3413,0.9473,15,0.004823,,
463,53318,0.3410,0.9121,25,0.004467,,
464,53342,0.3407,0.9156,24,0.001836,,
465,53358,0.3405,0.9437,16,0.004497,,
466,53443,0.3394,0.7012,85,0.004367,,
467,53460,0.3392,0.9402,17,0.002909,,
468,53475,0.3390,0.9473,15,0.006849,,
469,53489,0.3388,0.9508,14,0.005643,,
470,53568,0.3379,0.7223,79,0.004351,,
471,53582,0.3377,0.9508,14,0.003660,,
472,53596,0.3375,0.9508,14,0.004089,,
473,53622,0.3372,0.9086,26,0.005505,,
474,53633,0.3370,0.9613,11,0.003831,,
475,53648,0.3369,0.9473,15,0.002300,,
476,53662,0.3367,0.9508,14,0.002036,,
477,53688,0.3364,0.9086,26,0.005069,,
478,53704,0.3362,0.9437,16,0.004939,,
479,53724,0.3360,0.9297,20,0.004835,,
480,53744,0.3357,0.9297,20,0.006762,,
481,53792,0.3351,0.8313,48,0.003224,,
482,53826,0.3347,0.8805,34,0.004204,,
483,53843,0.3345,0.9402,17,0.001944,,
484,53866,0.3342,0.9191,23,0.003716,,
485,53877,0.3340,0.9613,11,0.002141,,
486,53893,0.3338,0.9437,16,0.003263,,
487,53909,0.3336,0.9437,16,0.003399,,
488,53926,0.3334,0.9402,17,0.001388,,
489,53941,0.3332,0.9473,15,0.003115,,
490,53965,0.3329,0.9156,24,0.004076,,
491,53981,0.3327,0.9437,16,0.003670,,
492,54001,0.3325,0.9297,20,0.003523,,
493,54017,0.3323,0.9437,16,0.003267,,
494,54028,0.3322,0.9613,11,0.005559,,
495,54047,0.3319,0.9332,19,0.001955,,
496,54066,0.3317,0.9332,19,0.002275,,
497,54083,0.3315,0.9402,17,0.003299,,
498,54106,0.3312,0.9191,23,0.002867,,
499,54127,0.3310,0.9262,21,0.002964,,
500,54142,0.3308,0.9473,15,0.003661,1.0000,0.9613
501,54166,0.3305,0.9156,24,0.006608,,
502,54186,0.3302,0.9297,20,0.004950,,
503,54201,0.3300,0.9473,15,0.001992,,
504,54228,0.3297,0.9051,27,0.002513,,
505,54243,0.3295,0.9473,15,0.004731,,
506,54259,0.3293,0.9437,16,0.003415,,
507,54281,0.3290,0.9227,22,0.002433,,
508,54297,0.3288,0.9437,16,0.002000,,
509,54313,0.3286,0.9437,16,0.001211,,
510,54332,0.3284,0.9332,19,0.001958,,
511,54358,0.3281,0.9086,26,0.004405,,
512,54380,0.3278,0.9227,22,0.001905,,
513,54394,0.3276,0.9508,14,0.006800,,
514,54416,0.3274,0.9227,22,0.004144,,
515,54427,0.3272,0.9613,11,0.002353,,
516,54439,0.3271,0.9578,12,0.005524,,
517,54455,0.3269,0.9437,16,0.005320,,
518,54469,0.3267,0.9508,14,0.002553,,
519,54483,0.3266,0.9508,14,0.001316,,
520,54507,0.3263,0.9156,24,0.005494,,
521,54521,0.3261,0.9508,14,0.004299,,
522,54542,0.3258,0.9262,21,0.001727,,
523,54565,0.3255,0.9191,23,0.004233,,
524,54585,0.3253,0.9297,20,0.002338,,
525,54601,0.3251,0.9437,16,0.002915,,
526,54620,0.3249,0.9332,19,0.002454,,
527,54633,0.3247,0.9543,13,0.001712,,
528,54652,0.3245,0.9332,19,0.003442,,
529,54668,0.3243,0.9437,16,0.006744,,
530,54684,0.3241,0.9437,16,0.004854,,
531,54699,0.3239,0.9473,15,0.006581,,
532,54722,0.3236,0.9191,23,0.003315,,
533,54758,0.3231,0.8734,36,0.003580,,
534,54780,0.3229,0.9227,22,0.002065,,
535,54796,0.3227,0.9437,16,0.005178,,
536,54810,0.3225,0.9508,14,0.002730,,
537,54831,0.3222,0.9262,21,0.006039,,
538,54849,0.3220,0.9367,18,0.007168,,
539,54864,0.3218,0.9473,15,0.002508,,
540,54883,0.3216,0.9332,19,0.002425,,
541,54899,0.3214,0.9437,16,0.003257,,
542,54913,0.3212,0.9508,14,0.001711,,
543,54932,0.3210,0.9332,19,0.002726,,
544,54949,0.3208,0.9402,17,0.005011,,
545,54963,0.3206,0.9508,14,0.004944,,
546,54984,0.3204,0.9262,21,0.004038,,
547,54998,0.3202,0.9508,14,0.002278,,
548,55012,0.3200,0.9508,14,0.005933,,
549,55024,0.3199,0.9578,12,0.007015,,
550,55039,0.3197,0.9473,15,0.004290,,
551,55052,0.3195,0.9543,13,0.006974,,
552,55076,0.3192,0.9156,24,0.002629,,
553,55095,0.3190,0.9332,19,0.002796,,
554,55112,0.3188,0.9402,17,0.004425,,
555,55124,0.3186,0.9578,12,0.008471,,
556,55144,0.3184,0.9297,20,0.001406,,
557,55166,0.3181,0.9227,22,0.003058,,
558,55188,0.3178,0.9227,22,0.005159,,
559,55202,0.3176,0.9508,14,0.002376,,
560,55214,0.3175,0.9578,12,0.003974,,
561,55229,0.3173,0.9473,15,0.003202,,
562,55241,0.3171,0.9578,12,0.005552,,
563,55254,0.3170,0.9543,13,0.001964,,
564,55269,0.3168,0.9473,15,0.006635,,
565,55295,0.3165,0.9086,26,0.004931,,
566,55312,0.3163,0.9402,17,0.006233,,
567,55324,0.3162,0.9578,12,0.006090,,
568,55342,0.3159,0.9367,18,0.004588,,
569,55357,0.3157,0.9473,15,0.001666,,
570,55375,0.3155,0.9367,18,0.004477,,
571,55388,0.3154,0.9543,13,0.004537,,
572,55416,0.3150,0.9016,28,0.005865,,
573,55433,0.3148,0.9402,17,0.004282,,
574,55444,0.3147,0.9613,11,0.002437,,
575,55461,0.3144,0.9402,17,0.004807,,
576,55481,0.3142,0.9297,20,0.002183,,
577,55504,0.3139,0.9191,23,0.003190,,
